ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
1,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,7hours HAUS 19 arts & concerts,Reinhardtstr. 18-20,10117,Berlin,52.5235492,13.3847587,http://www.7hours.com/,,
2,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,A TRANS,Baerwaldstr. 49,10961,Berlin,52.4911318,13.4018401,www.atrans.org,,
3,ORG+VENUE,"BÜHNEN, THEATER",Acker Stadt Palast - Freie Bühne Mitte e.V.,Ackerstr. 169/170,10115,Berlin,52.52974,13.39659,www.ackerstadtpalast.de,,
4,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE","ACUD Gallery, Studio, Club",Veteranenstraße 21D,10119,Berlin,52.533432,13.4009334,www.acudmachtneu.de,,
5,ORG+VENUE,TANZ / PERFORMANCE,ada Studio & Bühne für zeitgenössischen Tanz,Uferstraße 23,13357,Berlin,52.5518019,13.3748991,http://www.ada-studio.de/,,
6,ORG+VENUE,BIBLIOTHEK,Adolf-Reichwein-Bibliothek,Berkaer Platz 1,14199,Berlin,52.4777,13.28801,https://www.wir-bieten-vielfalt-einen-ort.de/adolf-reichwein-bibliothek/,,
7,ORG+VENUE,"BÜHNEN UND THEATER, ARCHIVE UND BIBLIOTHEKEN, LITERATUR, BILDENDE KUNST, DARSTELLENDE KUNST, TANZ / PERFORMANCE",AFROTAK TV cyberNomads - The Black German Academia Art Media Culture Archive since 2001,Auguststrasse 10,10117,Berlin,52.52644,13.39412,https://afrotak.com/,,
8,ORG+VENUE,BILDENDE KUNST,after the butcher,Spittastr.25,10317,Berlin,52.50406,13.47896,www.after-the-butcher.de,,
9,ORG+VENUE,"ARCHIVE UND BIBLIOTHEKEN, BILDENDE KUNST",AiR Berlin Alexanderplatz,Schönebergerstraße 13,10963,Berlin,52.4643893,13.3302153,http://airberlinalexanderplatz.de/de/,,
10,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Aktives Museum,Stauffenbergstraße 13-14,10785,Berlin,52.50768,13.36306,https://www.aktives-museum.de,,
11,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,alpha nova-kulturwerkstatt & galerie futura,Am Flutgraben 3,12435,Berlin,52.4970977,13.4516979,www.alpha-nova-kulturwerkstatt.de,,
12,ORG+VENUE,"LITERATUR, BILDENDE KUNST, MUSIK, SONSTIGES",Alte Dorfschule Rudow e.V.,Alt Rudow 60,12355,Berlin,52.4175979,13.4954824,http://alte.dorfschule-rudow.de/,,Sonderkultureinrichtung
13,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",Alte Möbelfabrik,Karlstr. 12,12555,Berlin,48.680019,10.1530523,http://alte-moebelfabrik.de/,,
14,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,CNTRM,Straße der Pariser Kommune; Franz-Mehring-Platz,10243,Berlin,52.5139565,13.4397162,christofzwiener.de,,
15,ORG+VENUE,BIBLIOTHEK,Amerika-Gedenkbibliothek,Blücherplatz 1,10961,Berlin,52.4963116,13.3903134,https://www.zlb.de,,
16,ORG,"BÜHNEN, THEATER",andcompany & Co,Mariannenplatz 2,10997,Berlin,52.5038945,13.4240746,http://www.andco.de/,,
17,ORG+VENUE,BIBLIOTHEK,Anna-Seghers-Bibliothek im Linden-Center,Prerower Platz 2,13051,Berlin,52.5650537,13.5061303,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298017.php,,
18,ORG+VENUE,BIBLIOTHEK,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369,Berlin,52.5306033,13.4709696,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298020.php,,
19,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Apartment Project Berlin,Hertzbergstr. 13,12055,Berlin,52.4770176,13.4480445,berlin.apartmentproject.org,,
20,ORG,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME","Arbeitskreis Kommunale Galerien Berlin (KGB), c/o Kunstverein Tiergarten e.V.",Turmstraße 75,10551,Berlin,52.5266505,13.333852,http://kgberlin.net/,,
21,ORG+VENUE,"BAUDENKMÄLER, SCHLÖSSER, GÄRTEN",Archäologischer Keller,Reformationsplatz 3-4,13597,Berlin,52.5379498,13.2051341,http://www.kulturfuehrer-berlin.de/index.php?hk=11&uk=45&b=0&pid=2183&e=4,,
22,VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Art Laboratory Berlin,Prinzenallee 34,13359,Berlin,52.5580132,13.386037,www.artlaboratory-berlin.org,,
23,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,art.endart,Drontheimer Str. 22/23,13359,Berlin,52.56023,13.37659,www.koloniewedding.de/artendart,,
24,ORG,PROJEKTRAUM/PROJEKTINITIATIVE,ARTITUDE e.V.,Cuvrystraße 3-4,10997,Berlin,52.4999627,13.4458798,www.artitu.de,,
25,VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Artothek,Hohenzollerndamm 176,10713,Berlin,52.4894393,13.3118077,https://www.kommunalegalerie-berlin.de/artothek-berlin/,,
26,ORG+VENUE,"BÜHNEN, THEATER",Astrid-Lindgren-Bühne im Fez,Straße zum FEZ 2,12459,Berlin,52.4612165,13.5490931,https://astrid-lindgren-buehne.fez-berlin.de/,,
27,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Atelierhof Kreuzberg,Schleiermacherstr. 31-37,10961,Berlin,52.492551,13.399023,http://www.atelierhof-kreuzberg.com/,,
28,ORG+VENUE,"BÜHNEN, THEATER",ATZE Musiktheater,Luxemburger Str. 20,13353,Berlin,52.54263,13.35193,http://www.atzeberlin.de,,
29,ORG,"BÜHNEN, THEATER",aufBruch - KUNST GEFÄNGNIS STADT,Pappelallee 7,10437,Berlin,52.5422153,13.4138776,https://www.gefaengnistheater.de/#,,
30,ORG+VENUE,"BÜHNEN, THEATER",AUSLAND - Territory for arts and collateral damage,Lychener Str. 60,10437,Berlin,52.5448412,13.4197262,https://ausland-berlin.de/,,
31,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Ausstellungszentrum Pyramide,Riesaer Str. 94,12627,Berlin,52.5310817,13.6154831,http://www.kultur-marzahn-hellersdorf.de/AUSSTELLUNGSZENTRUM-PY.12.0.html,,
32,ORG+VENUE,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Axel Obiger,Brunnenstraße 29,10119,Berlin,52.534476,13.3986033,www.axelobiger.com,,
33,ORG+VENUE,"BÜHNEN, THEATER",Ballhaus Naunynstraße,Naunynstr. 27,10997,Berlin,52.5020343,13.4212979,http://www.ballhausnaunynstrasse.de/,,Sonderkultureinrichtung
34,ORG+VENUE,"BÜHNEN, THEATER",Ballhaus Ost,Pappelallee 15,10437,Berlin,52.5430652,13.4148661,https://www.ballhausost.de/,,
35,VENUE,"BAUDENKMÄLER, SCHLÖSSER, GÄRTEN",Baudenkmal,Schustehrusstraße 13,14059,Berlin,52.5172241,13.3038398,https://www.villa-oppenheim-berlin.de/museum/baudenkmaeler/schustehrusstrasse-13.html,,
37,ORG,PROJEKTRAUM/PROJEKTINITIATIVE,Bel Etage,,,Berlin,,,bel-etage-projects.com,,wechselnde Ausstellungsräume
38,ORG+VENUE,"BILDENDE KUNST, TANZ / PERFORMANCE",Berlin con mucho Arte (BcmA),"Manteuffelstr., 42",10997,Berlin,52.458312,13.3764109,http://www.berlinconmuchoarte.com/,,
39,ORG+VENUE,"ARCHIVE UND BIBLIOTHEKEN, LITERATUR",Berliner Blindenhörbücherei gGmbH,Auerbachstraße 7,14193,Berlin,52.4864291,13.2620591,http://bhb.absv.de/,,
40,ORG+VENUE,"BÜHNEN, THEATER",Berliner Ensemble,Bertolt-Brecht-Platz 1,10117,Berlin,52.5222176,13.3851929,https://www.berliner-ensemble.de,,
41,ORG+VENUE,SONSTIGES,Berliner Festspiele,Schaperstraße 24,10719,Berlin,52.4984457,13.3286464,https://www.berlinerfestspiele.de,,
42,ORG,"LITERATUR, BILDENDE KUNST, MUSIK, SONSTIGES",Berliner Künstlerprogramm des DAAD,Makrgrafenstraße 37,10117,Berlin,52.5134042,13.3934685,http://www.berliner-kuenstlerprogramm.de/,,
43,ORG+VENUE,BIBLIOTHEK,Berliner Stadtbibliothek,Breite Straße 30 – 36,10178,Berlin,52.51534,13.40446,https://www.zlb.de,,
45,ORG+VENUE,MUSEUM,"Berlinische Galerie, Landesmuseum für Moderne Kunst, Fotografie und Architektur",Akte Jakobstr. 124-128,10969,Berlin,52.5037618,13.3986995,https://www.berlinischegalerie.de/home/,,
46,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Berlin-Weekly,Linienstr. 160,10115,Berlin,52.5278498,13.3949749,berlin-weekly.com,,
47,ORG,"KUNSTGALERIEN, AUSSTELLUNGSRÄUME",Bernhard-Heiliger-Stiftung,Käuzchensteig 8,14195,Berlin,52.4663,13.27435,https://bernhard-heiliger-stiftung.de/,,
48,VENUE,BIBLIOTHEK,Bettina-von-Arnim-Bibliothek,Schönhauser Allee 75,10439,Berlin,52.549214,13.4141009,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bettina-von-arnim-bibliothek/,,
49,VENUE,MUSEUM,Bezirksmuseum Marzahn Hellersdorf / Haus 1,Alt-Marzahn 51,12685,Berlin,52.5431362,13.5609464,http://www.kultur-marzahn-hellersdorf.de/BEZIRKSMUSEUM-MARZAHN.11.0.html,,
50,ORG+VENUE,BIBLIOTHEK,Bezirkszentralbibliothek,Carl-Schurz-Straße 13,13597,Berlin,52.5361344,13.2013573,https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/,,
51,ORG+VENUE,BIBLIOTHEK,Bezirkszentralbibliothek Mark Twain,Marzahner Promenade 52 – 54,12679,Berlin,52.5472261,13.5554319,https://www.berlin.de/bibliotheken-mh/bibliotheken/bezirkszentralbibliothek-mark-twain/,,
